Name;Address;Zip;City;Phone;Fax;E-Mail;URL
Alles am Bau Bauunternehmung GmbH;Venrather Weg 15,;41189;Mönchengladbach-Herrath;02166 9 97 62 77;;info@allesambau.de;https://www.allesambau.de/
K & K Hochbau GmbH;Steinsstr. 44,;41238;Mönchengladbach-Mülfort;02166 13 00 57;;info@kk-hochbau.de;http://www.kk-hochbau.de
Soujon GmbH Hoch- u. Tiefbau;Am Gewerbehof 15-17,;50170;Kerpen-Sindorf;02273 91 19 40;;Info@Soujon.com;http://www.soujon.com
dm Baubetriebe;Roermonder Str. 111,;52525;Heinsberg;02452 9 89 44 44;;;
Orth Hubert Dipl.Ing. Hoch- und Ingenieurbau;Holtroper Str. 2,;50129;Bergheim-Niederaußem;02271 5 21 11;;;
wbc-Baucontrolling;Mühlental 54,;52066;Aachen;0241 6 08 80 86;;warner@wbc-baucontrolling.de;http://www.wbc-baucontrolling.de
Danha & Engels Hochbau GmbH;Heddinghovener Str. 49,;50374;Erftstadt;02235 95 27 31;;danha-engels-gmbh@netcologne.de;http://www.danha-engels-hochbau.de
Deuster Peter;Keplerstr. 162,;41238;Mönchengladbach-Rheydt;02166 2 62 79 91;;H.Peter-Deuster@gmx.de;
Neugebauer Cornelia Fausten Jürgen;Hohe Str. 34,;41179;Mönchengladbach-Rheindahlen;02161 57 01 07;;;
Jansen Jörn Alexander Hochbau;Baronsweg 45,;41849;Wassenberg-Birgelen;02432 49 15 90;;;
Hochbau GmbH Greifswald;Salinenstr. 43,;17489;Greifswald Hansestadt-Steinbecker Vorstadt;03834 79 80-0;;;http://www.hochbau-greifswald.de
Ladewig Helmut Bautenschutz im Hochbau;Uferstr. 4,;17389;Anklam;03971 83 23 32;;;
Schnell Tiefbau-Hochbau GmbH;Sadelkower Weg 21,;17098;Friedland-Jatzke;0170 8 10 30 03;;;
Hoch+Tiefbau Neubrandenburg GmbH;Quarzstr. 15,;17036;Neubrandenburg-Fritscheshof;0395 77 82 49 83;;;http://www.ht-nb.de
Bauhütte GmbH Greifswald Hochbau;Am Koppelberg 14,;17489;Greifswald Hansestadt-Industriegebiet;03834 58 03-0;;;
S&T Hochbau GmbH;Gustebiner Damm 1,;17509;Wusterhusen;038354 34 91 78;;;
Bauhütte GmbH Greifswald Hochbau;Am Koppelberg 14,;17489;Greifswald Hansestadt-Industriegebiet;;;;
Malermeister SchürgutBS Hochbau und Maler GmbH;Rotbuchenring 83,;17033;Neubrandenburg-Lindenberg;;;rsmaler@freenet.de;http://www.maler-schuergut.de
ARE Ausbau GmbH Hochbau Heizung Sanitär Tiefbau;Schulstr. 12,;17389;Anklam;03971 2 08 70;;info@are-ausbau.de;http://www.are-ausbau.de
NENTWICH GmbH Hoch- und Tiefbau;Gemeindewiesenweg 44,;17309;Pasewalk;03973 21 62 68;;nentwich-gmbh@t-online.de;http://www.nentwich-bau.de
AN Concept GmbH Hochbau;Bieberer Str. 12,;63165;Mühlheim am Main;06108 8 22 75 75;;;
Michael Christ Bau GmbH;Am Heißen Stein 12,;63864;Glattbach;06021 6 18 86;;;https://www.christ-projektbau.de
Hans Goll Baugesellschaft mbH;Realschulstr. 2,;64823;Groß-Umstadt-Raibach;;;;
Hans Goll Baugesellschaft mbH;Realschulstr. 2,;64823;Groß-Umstadt;06078 78 26 09;;;
D.V. Baugesellschaft GmbH;Senefelder Str. 1,;63110;Rodgau-Nieder-Roden;06106 6 66 59 68;;;
Dazdar Baudienstleistungen Baudienstleistung;Birkenhainer Str. 1b,;63450;Hanau;0163 7 42 08 16;;dazdar.baudienstleistungen@outlook.com;
MHT Hoch- u. Tiefbau GmbH;Grenzweg 7,;63829;Krombach;06024 63 18 66;;Info@mhtgmbh.de;http://mht-bauunternehmung.de/
Rodos Bau GmbH Hochbauarbeiten;Lagerstr. 11,;64807;Dieburg;06071 6 03 89 14;;;
DEMIR Hoch- und Tiefbau GmbH;Seligenstädter Grund 9,;63150;Heusenstamm;06104 7 80 79 00;;;
Jürgen Hofmann Bau-Profi;Kreuzfeldring 14,;63820;Elsenfeld-Rück;06022 7 22 01;;;
Wildgruber Detlef;Philipp-Grimm-Str. 3,;63906;Erlenbach;09372 9 40 02 99;;info@bauplanung-hochbau.de;https://www.bauplanung-hochbau.de
Schäfer & Geis GmbH;Siemensstr. 7,;97855;Triefenstein-Lengfurt;09395 87 82 57;;info@schaefer-geis.de;https://www.schaefer-geis.de
