Name;Address;Zip;City;Phone;Fax;E-Mail;URL
TIM GmbH Ingenieurgesellschaft f. Technolgie im Maschinenbau Ingenieurbüro;Schurzelter Mühle 67,;52074;Aachen;0241 9 00 71 13;;;
Kugler Maschinenbau;Walkmühlenstr. 16,;52074;Aachen;0241 1 69 69 50;;;
AK Maschinenbau;Liebigstr. 40,;52070;Aachen;0241 1 82 42 36;;info@ak-maschinenbau.de;http://www.ak-maschinenbau.de
Aca GmbH Ingenieurbüro für Maschinenbau;Charlottenburger Allee 41,;52068;Aachen;0241 45 01 63 38;;a.cannell@aca-gmbh.com;http://www.aca-gmbh.com
3 Win Maschinenbau GmbH;An der Schurzelter Brücke 11,;52074;Aachen;0241 94 32 33-0;;dw@3win.de;http://www.3win.de
FERCHAU GmbH;Talbotstraße 25,;52068;Aachen;0241 1 89 95 80;;aachen@ferchau.com;https://www.ferchau.com/de/de/ueber-uns/niederlassungen/aachen
Schulte-Schmale GmbH Maschinenbau;Lukasstr. 22,;52070;Aachen;0241 15 40 11;;info@schulte-schmale.de;http://www.schulte-schmale.de
Oberlin Filter GmbH Maschinenbau;Gartenstr. 38,;52249;Eschweiler;02403 50 43-0;;info@oberlin-filter.de;http://www.oberlin-filter.de
Ingenieurberatung Maschinenbau/ Werkstoffe;Melatener Str. 80,;52074;Aachen;0241 15 62 58;;klaus.genius@gmx.de;https://www.maschinen-sachverständiger.de
Wielpütz & Lantin Maschinenbau GmbH;Auf der Hüls 193,;52068;Aachen;0241 16 69 90;;info@wielpuetz-lantin.de;http://www.wielpuetz-lantin.de
Maschinenbau Rudolf GmbH;Gewerbegebiet Zingsheim-Süd 7,;53947;Nettersheim;02486 8 02 46-0;;post@maschinen-rudolf.de;http://www.maschinen-rudolf.de
Jouhsen Bündgens GmbH;Industriestr. 11,;52224;Stolberg (Rhld.);02402 10 20 67-0;;jouhsen@jouhsen.de;http://www.jouhsen.de
Souvignier W. GmbH;Trierer Str. 683,;52078;Aachen;0241 9 28 04-0;;souvignier@t-online.de;
H & W Quadflieg GmbH;Zieglersteg 10,;52078;Aachen;0241 56 20 34;;post@quadtec.de;http://www.quadtec.de
HAKU GmbH Zerspanungstechnik;Otto-Lilienthal-Str. 8,;52477;Alsdorf;02404 98 94-0;;;http://www.haku.de
Franzen Johannes GmbH Stahl- und Maschinenbau;Heistardstr. 11,;53894;Mechernich-Holzheim;02484 23 62;;info@franzen-maschinen.de;http://www.franzen-maschinen.de
EDM-Technik Maschinenbau GmbH;Dörriesstr. 2,;53894;Mechernich-Vussem;02484 9 19 81-0;;info@edm-technik.de;http://www.edm-technik.de
Naßheuer Rolf Maschinenbau;Gewerbegebiet Zingsheim-Süd 0,;53947;Nettersheim;02486 12 36;;;http://www.nassheuer-maschinenbau.de
wagner GmbH;Aachener Str. 79,;52249;Eschweiler;02403 87 74-0;;info@wagnergmbheschweiler.de;http://www.wagnergmbheschweiler.de
Aixolution GmbH;Zieglersteg 12,;52078;Aachen;0151 19 63 91 77;;Impressum@aixolution.de;http://www.aixolution.de
Myrenne GmbH;Vennhorn 7,;52159;Roetgen;02471 12 12-0;;info@myrenne.com;
Pharma Maschinen Handels GmbH;Schäfersgraben 15,;52372;Kreuzau-Stockheim;02421 5 80 96;;;
Lenzen Wilfried Industrietechnik;Brunnenstr. 3,;53937;Schleiden-Berescheid;02485 91 14 77;;office@lenzen-industrietechnik.de;http://www.lenzen-industrietechnik.de
Ludwigs Gebr. GmbH & Co. KG Masch. Getriebebau;Rölsdorfer Str. 18,;52355;Düren-Lendersdorf;02421 5 21 32;;info@GebruederLudwigs.de;http://www.GebruederLudwigs.de
Peerless Machine & Tool GmbH;Arnold-Sommerfeld-Ring 2,;52499;Baesweiler;02401 40 71;;peerlessgm@aol.com;http://www.peerlessmachine.com
Hauerwas A. Maschinen Fabrik GmbH & Co. KG;Kölner Landstr. 299,;52351;Düren;02421 3 41 03;;info@hauerwas.de;http://www.hauerwas.de
Groteklaes GmbH Maschinen- und Stahlbau;Margaretenstr. 7,;52428;Jülich;02461 5 06 42;;mail@groteklaes.com;http://www.groteklaes.com
Kranbau und Fördertechnik GmbH;Industriestr. 16,;52459;Inden-Pier;02428 80 98-0;;info@kf-gmbh.de;
Braun und Lerch Metallbau GmbH;Jägerhausstr. 22,;52152;Simmerath-Lammersdorf;02473 93 82 36;;info@lerch-metallbau.de;http://www.lerch-metallbau.de
TyssenKrupp Bauservice GmbH;Ottostr. 30,;41836;Hückelhoven;02433 45 30;;office@es-verbau.de;http://www.es-verbau.de
Nähtechnik Nord-West GmbH;Fischbachstr. 68,;50127;Bergheim-Quadrath-Ichendorf;02271 83 92 02;;;http://www.naehtechnik-nw.de
Hufschmidt Wiesen Maschinen;Trierer Str. 1,;53937;Schleiden-Oberhausen;02445 8 97 86 96;;;
Poppels Armin maschinenform;Burghofweg 26,;41844;Wegberg-Arsbeck;02436 38 26 84;;post@maschinenform.de;http://www.maschinenform.de
Landtechnik-Maschinenbau-Handel LAMAHA GmbH;Spantekower Landstr. 35,;17389;Anklam;03971 29 14-0;;;https://www.lamaha-gmbh.de/
Rothbart Maschinenbau GmbH Maschinenbau u. Werkzeugschleiferei;Stralsunder Str. 26,;17373;Ueckermünde;039771 2 77 15;;;
Weber Food Technology GmbH;Feldmark 11,;17034;Neubrandenburg;0395 45 06-0;;info@weberweb.com;http://www.weberweb.com
Rothbart Maschinenbau GmbH;Stralsunder Str. 26,;17373;Ueckermünde;039771 2 27 76;;info@rothbart-maschinenbau-gmbh.de;http://www.rothbart-maschinenbau-gmbh.de
IGM Industrie Generatoren Maschinenbau GmbH;Justus-von-Liebig-Str. 2,;17033;Neubrandenburg-Weitin;0395 3 68 45 37;;info@igm-nb.de;http://www.igm-nb.de
FERCHAU GmbH;Markt 3,;17489;Greifswald;03834 77 69 00;;greifswald@ferchau.com;https://www.ferchau.com/de/de/ueber-uns/niederlassungen/greifswald
Maschinenbau- u. handel Schulz Metallbau;Bachstr. 14,;17033;Neubrandenburg-Am Oberbach;;;;http://www.raeucherofen.net
Landtechnik- Maschinenbau LAMAHA;Torgelower Str. 18,;17309;Pasewalk;03973 20 48 20;;;http://www.lamaha-gmbh.de
DMT Demminer Maschinenbau Technik GmbH;Woldeforster Str. 5,;17109;Demmin, Hansestadt;03998 4 35-0;;;http://www.dmt-demmin.de
Landtechnik-Maschinenbau;Augustastr. 30,;17033;Neubrandenburg-Südstadt;0395 77 75 60-0;;info@lamaha-gmbh.de;http://www.lamaha-gmbh.de
FERCHAU GmbH;Rößlerstraße 88,;64293;Darmstadt;06151 39 14 50;;darmstadt@ferchau.com;https://www.ferchau.com/de/de/ueber-uns/niederlassungen/darmstadt
3D Druck Service Frankfurt;Alt-Zeilsheim 3,;65931;Frankfurt am Main;069 93 49 08 58;;;https://www.3d-druck-service-frankfurt.de/
Kaup GmbH & Co. KG Ges. für Maschinenbau;Braunstr. 17,;63741;Aschaffenburg-Leider;06021 8 65-0;;kaup@kaup.de;https://www.kaup.de/
HEEG Konstruktion & Maschinenbau GmbH;Daimlerstr. 17,;63741;Aschaffenburg-Strietwald;06021 15 08 99-0;;info@heeg-km-gmbh.de;http://www.heeg-km-gmbh.de
Präzisionswerk Schnatz GmbH & Co.KG;Siemensstr. 2,;63768;Hösbach;06021 59 43;;info@pw-schnatz.com;https://www.pw-schnatz.com
FERCHAU GmbH;Kruppstraße 105,;60388;Frankfurt;069 9 85 57 90;;frankfurt@ferchau.com;https://www.ferchau.com/de/de/ueber-uns/niederlassungen/frankfurt
plantIng GmbH;Frankfurter Str. 10-14,;65760;Eschborn;06196 76 98 80;;rhein-main@plant-ing.de;https://www.plant-ing.de/de/de/standorte/rhein-main
planting GmbH;August-Laubenheimer Str.,;65929;Frankfurt am Main;0721 6 63 97 80;;rhein-neckar@plant-ing.de;https://www.plant-ing.de/de/de/standorte/rhein-neckar
Weinert Maschinenbau GmbH;Münchener Str. 11,;64521;Groß-Gerau;06152 17 18 40;;info@weinert-mb.de;http://www.weinert-mb.de
Englert Maschinenbau GmbH;Dillberg 55,;97828;Marktheidenfeld;09391 91 57 77;;info@maschinenbau-englert.de;http://www.maschinenbau-englert.de
MK Maschinenbau Kubitza GmbH;Hauptstr. 19-21,;64720;Michelstadt-Würzberg;06061 58 32;;info.germany@mk-kubitza.de;http://www.mk-kubitza.de
Wild K. A., Werkzeug- und Maschinenbau GmbH;Max-Planck-Str. 14,;61184;Karben;06039 20 78;;k.a.wild@t-online.de;http://www.kawild.de
MK Maschinenbau Kubitza GmbH;Hauptstr. 19-21,;64720;Michelstadt;;;;
ERWEKA GmbH Maschinenbau;Pittlerstr. 45,;63225;Langen (Hessen)-Industriegebiet;06103 92 42 60;;info@erweka.com;http://www.erweka.com
Harmontronics Automation GmbH Dipl.Ing. Wei  Hu Maschinenbau;Paul-Ehrlich-Str. 1b,;63225;Langen (Hessen)-Industriegebiet;06103 9 88 24 62;;;
Neue HMS-Automatic Maschinenbau GmbH;Raiffeisenstr. 14,;63636;Brachttal;06054 20 56;;;
Fella Maschinenbau GmbH;Am Grundlosen Brunnen 2,;63916;Amorbach;09373 97 49-0;;info@fella-gmbh.de;https://www.fella-gmbh.de
Kern Anlagentechnik GmbH Maschinenbau;Würzburger Str. 40,;97737;Gemünden a.Main-Langenprozelten;09351 50 81 40;;info@kern-anlagentechnik.de;http://www.kern-anlagentechnik.de
Stork Maschinenbau GmbH;Dieselstr. 6,;64546;Mörfelden-Walldorf;;;;
Gayk Baumaschinen GmbH;Dieselstr. 3,;63762;Großostheim;06026 9 78 85-0;;info@gayk-baumaschinen.de;http://www.gayk-baumaschinen.de
CADTECH Konstruktions- + Schulungs GmbH;Uhlandstr. 15,;63741;Aschaffenburg-Damm;06021 41 09 56;;info@cadtech-gmbh.de;http://www.cadtech-gmbh.de
OKA-Spezialmaschinenfabrik K.G. GmbH & Co Maschinenbau;Grenzallee 5,;64297;Darmstadt-Eberstadt;06151 5 09 90;;info@oka.eu;http://www.kremmling.com
Neue HMS-Automatic Maschinenbau GmbH;Raiffeisenstr. 14,;63636;Brachttal-Hellstein;;;;
Hubral Maschinenbau GmbH;Berliner Str. 50,;64319;Pfungstadt;06157 28 21;;info@hubralmb.de;http://www.hubralmb.de
Stork Maschinenbau GmbH;Dieselstr. 6,;64546;Mörfelden-Walldorf;06105 9 24 10;;;
WEIMER MASCHINENBAU;Buch 45,;63931;Kirchzell-Buch;09373 20 05-0;;info@weimer-maschinenbau.de;http://weimer-maschinenbau.de
Florig GmbH Maschinenbau Mechanische Werkstatt;Gassbacher Weg 4a,;64689;Grasellenbach-Hammelbach;06253 32 98;;;
Hubral Maschinenbau GmbH;Berliner Str. 50,;64319;Pfungstadt;;;;
A+ GmbH;Hafenstr. 2,;63811;Stockstadt;06027 4 03 95-0;;info@aplus.it;http://www.aplus.it
A+ GmbH - IT-Dienstleister Aschaffenburg - Computer . Software . Service;Hafenstr. 2,;63811;Stockstadt;06027 40 39 50;;info@aplus.it;https://www.aplus.it
Krahl Verladesysteme GmbH Maschinenbau;Silostr. 39A,;65929;Frankfurt am Main-Unterliederbach;069 30 05 80 80;;;
Stadtmüller & Sauer CNC-Fertigungstechnik GmbH & Co. KG;Buchenweg 26-28,;63768;Hösbach-Rottenberg;06024 6 58 30-0;;info@stadtmueller-sauer.de;http://www.stadtmueller-sauer.de
Rücker Dieter GmbH;Frohnradstr. 12,;63768;Hösbach;06021 57 00 00;;info@ruecker-maschinenbau.de;http://www.ruecker-maschinenbau.de
Konstruktionsbüro Alban Winheim Maschinenbau;Am Steinlein 2,;97753;Karlstadt;09353 9 97 37;;alban.winheim@a-winheim.de;https://www.a-winheim.com
RINGSPANN GmbH Maschinenbau;Schaberweg 30-38,;61348;Bad Homburg v. d. Höhe;06172 27 50;;info@ringspann.de;http://www.ringspann.de
EKT Werkzeug- u. Maschinenbau GmbH;Gießener Str. 23a,;61206;Wöllstadt;06034 62 72;;info@ekt-woellstadt.de;http://www.ekt-woellstadt.de
Laun GmbH Maschinen- und Apparatebau Maschinenbau;Waldstr. 71,;65451;Kelsterbach;06107 98 66 90;;info@laun-online.com;http://www.laun-online.de
Ergo-Tec GmbH Maschinenbau;Prinz-Ludwig-Str. 2,;97264;Helmstadt;09369 90 60-0;;buero@ergo-tec-gmbh.de;https://www.ergo-tec.com
Achenbach GmbH Maschinenbau;Ankerstr. 68,;65795;Hattersheim am Main;06145 3 04 72;;info@helmut-achenbach-gmbh.de;http://www.helmut-achenbach-gmbh.de
WKSB Rhein-Main GmbH;Zum weißen Rain 2,;63571;Gelnhausen-Hailer;06051 91 22 80;;info@wksb.de;http://www.wksb.de
Kilian Bernhard Maschinenbau;Siegfriedstr. 507,;64646;Heppenheim (Bergstraße)-Wald-Erlenbach;06253 97 22 22;;kilian-maschinenbau@web.de;http://www.kilian-maschinenbau.de
ATM Anlagen Technik und Maschinenbau GmbH;Neue Mauerstr. 14a,;61348;Bad Homburg v. d. Höhe;06172 98 59 07;;atm-bi@t-online.de;http://www.atm-bishay.com
Ziegler Maschinenbau  Kundendienst Werkzeugmasch.;Am Mühlberg 22,;97274;Leinach;09364 61 38;;;
KMB GmbH Maschinenbau;Daimlerstr. 7,;97267;Himmelstadt;09364 8 17 51-0;;info@kmbgmbh.de;http://www.kmbgmbh.de
ATM Anlagen Technik und Maschinenbau GmbH;Neue Mauerstr. 14a,;61348;Bad Homburg v. d. Höhe;0171 2 13 05 52;;;
Simon;Bensbruchstr. 4,;63533;Mainhausen;06182 2 60 16;;simonmechanik1971@freenet.de;
ZTK Müller GmbH;Hauptstr. 185,;63768;Hösbach;06021 4 54 99 70;;info@ztk-mueller.de;https://www.ztk-mueller.de
Remmert Maschinenbau CnC Bearbeitung;Dieselstr. 1,;61476;Kronberg;06173 6 56 96;;produktion@remmert-cnc.com;http://www.remmert-cnc.com
RM-Fertigung GmbH;Am Sandborn 6,;63500;Seligenstadt;06182 9 55 46 51;;info@rm-fertigung.de;http://www.rm-fertigung.de
Hallstein & Heyl Maschinen- & Vorrichtungsbau GbR;Wernher-von-Braun-Str. 8,;64739;Höchst i. Odw.;06163 82 84 03;;;http://www.hallstein-heyl.de/
Klock Sondermaschinenbau GmbH;Reinhard-Müller-Ring 7,;64853;Otzberg-Lengfeld;0170 1 60 13 01;;;
Vision-Technology GmbH;Auf der Beune 74,;64839;Münster Hessen;06071 39 40 10;;info@vitec-maschinenbau.de;http://www.vitec-maschinenbau.de
Koch Paul Mechanische Werkstätte;Vorm Hain 13,;63517;Rodenbach-Niederrodenbach;06184 5 02 22;;;
Hillerich Josef;Angelhofstr. 4,;64750;Lützelbach;0171 3 70 61 27;;info@maschinenbau-hillerich.de;http://www.maschinenbau-hillerich.de
AURION Anlagentechnik GmbH;Am Sandborn 14,;63500;Seligenstadt;06182 9 62 80;;neue_wege@aurion.de;http://www.aurion.de
SEYI Presses Europe GmbH;Donaustr. 19,;63452;Hanau;06181 1 89 23 00;;sales@seyi-europe.com;http://www.seyi-europe.com
MVG-Metallverkaufsgesellschaft mbH;Hanauer Landstr. 421,;60314;Frankfurt am Main-Ostend;069 9 42 13 00;;info@mvg-frankfurt.de;http://www.mvg-frankfurt.de
Prause Roland;Goethestr. 13,;63538;Großkrotzenburg;06186 91 32 49;;info@prause-sachverstand.de;http://www.prause-sachverstand.de
Beltron GmbH;Siemensstr. 6,;63322;Rödermark;06074 89 19 90;;info@beltron.de;http://www.beltron.de
Haamann Karl-Egon Metalltechnik;Im Gewerbegebiet 3,;97896;Freudenberg;;;;http://www.haamann.de/
